question,response
"I failed to file a personal property tax return but the assessor never mailed me blank
forms, so would the late assessment be subject to penalties?","<p>Yes, penalties would apply to a return filed late. The Department&rsquo;s rule states that the obligation   to file a return is not diminished because forms were not mailed to the taxpayer. The forms are   readily available, and it is the taxpayer&rsquo;s responsibility to obtain the appropriate forms and file   them in a timely manner.</p>"
What normally happens if I fail to file my business personal property return?,"<p>Once discovered, the county or township assessor will estimate an assessment based upon the  best information available and will send the taxpayer a Form 113/PP showing the estimated   assessed value. A person receiving a notice of assessment would have thirty (30) days to file a   return which would replace the estimated assessment or forty-five (45) days to challenge the   estimated assessment through the appeals process (see IC 6-1.1-15). This assessment will be   subject to penalties.</p>"
I purchased a business last July and want a copy of the personal property return that the prior owner filed last year. Can I obtain a copy of it?,"<p>The Form 104 is available for public inspection because it only contains the assessed value. The  Form 103, however, contains cost and sales data which is confidential under IC 6-1.1-35-9. Since   the previous owner and the current owner most likely have different federal i.d. numbers, one   entity would not have the right to view the confidential records of the other by requesting those   records from a government official. Of course, the previous owner can provide copies of those   records to anyone he chooses. Since this question could be fact sensitive if a person believes that   he should be entitled to this information and has been refused, he could request an opinion from   the Indiana Public Access Counselor. (Visit their website at www.in.gov/pac for more   information on accessing public records.)</p>"
My township assessor used to assist me with the filing of the personal property return but those positions were eliminated. Can the county assessor help me now?,"<p>Indiana&rsquo;s personal property tax system is a self-assessment system so it is the taxpayer&rsquo;s responsibility to file the return. While it is the county assessor&rsquo;s duty to review those returns <br />once they are filed, general assistance might be offered; however, each county will set its own policy on this issue based on the complexity of the issue or limited resources available to provide such services that are not required by law.</p>"
"Can I pay Administrative, Probation User Fees or Restitution Fees on-line?","<p>Yes, all Administrative Fees, Probation User Fees and Restitution fees can be paid at <a href=""javascript:openExtWindow('http://www.govpaynow.com/')""><strong><em>www.govpaynow.com</em></strong></a>.</p>"
"How can I find contact information for the various county offices (assessor, auditor, or treasurer) throughout the State of Indiana, locate forms, or learn more about Indiana’s personal property tax system?",<p>Go to the Indiana Department of Local Government Finance’s website at www.in.gov/dlgf.</p>
What happens if my child is released from Probation and I owe Probation Fees or Restitution?,"<p>A contempt citation will be filed against the child&rsquo;s parent/guardian and the case will be set for a citation hearing.&nbsp; If the fees are paid prior to the hearing, your case will be closed and your presence will not be necessary.&nbsp; Administrative Fees, Probation User Fees and Restitution Fees can be paid via Money Order or on-line at <a href=""javascript:openExtWindow('http://www.govpaynow.com/')""><strong><em>www.govpaynow.com</em></strong></a>.</p>"
Is there a minimum assessment where no tax return is required?,"<p>The State of Indiana does not have a minimum assessment where no return would be required if the assessed value was under a certain amount but the law does provide for a minimum tax bill. IC 6-1.1-22-9 (g) provides that if the tax liability on an assessment is less than five dollars ($5.00), a processing fee will be added to bring the liability up to the five dollar minimum.</p>"
"If my business moved or went out of business, and I no longer have personal property located within the county, am I required to file a “final” return and notify the assessor of this change?","<p>While Indiana law does not require it, many taxpayers believe that it is a good idea to communicate this information since the assessor has the authority to place an estimated assessment on someone who he/she believes has failed to file a return. If the assessor sends a Form 113/PP (Notice of Assessment/Change), and places an estimated assessment on someone, that person would have the right to challenge that assessment within forty-five (45) days of the date of the notice.</p>"
How do I get more information about Assessor Property Information website?,"<p>Assessor Property Information website is operated by a thrid party. It can be accessed publicly <a href=""javascript:openExtWindow('http://in-lake-assessor.governmaxa.com/propertymax/rover30.asp')"">HERE</a>. Also, more information about this service, technical support and how to obtain commercial access subscription, click <a href=""javascript:openExtWindow('http://in-lake-assessor.governmaxa.com/propertymax/site_help.asp?index=agency/all/inlakefaq_V0901.htm&amp;PrintView=True&amp;sid=C11A1C1836614457A2F304611424977D')"">HERE</a>.</p>"
Is there a manual or set of rules available for the assessment of personal property?,"<p>Yes, 50 IAC 4.2 is the administrative code that covers the assessment of personal property.<br /><br />The Department&rsquo;s &ldquo;personal property manual&rdquo; can be found on the Department&rsquo;s website by going to: www.in.gov/dlgf</p>
<ul>
<li>Click on Legislation &amp; Policy Information</li>
<li>Click on Indiana Code &amp; Administrative Code</li>
<li>Click on Indiana Administrative Code</li>
<li>Click on Title 50</li>
</ul>
<p>or by going to the following link - http://www.in.gov/legislative/iac/iac_title?iact=50 and selecting Article 4.2.</p>"
What do I need to do to file for paternity or child support?,Please see IV-D Paternity tab for instructions and a list of useful Resources.
Who is able to visit with my child when detained at LCJC other than parents?,See the Juvenile Detention tab for Rules for Visitation
My child is out of control.  Can I bring him/her in to talk with the probation department?,"No.  The Probation Department is designed to handle cases that have been officially referred to the court.  Community resources are available to assist with questions regarding children’s behavior.  Such resources are:  The Crisis Center (219) 938-7070, Geminus Corporation Hotline (219) 757-1868 and Mental Health America (219) 736-4955."
What do I need to do to file for visitation rights/parenting time?,Paternity must be established by Court Order or a Paternity Affidavit signed by the father to have a right to parenting time.  Please see the IV-D Paternity tab for instructions on how to file paternity and the Resource List for Self-Represented Litigants for useful websites.
Can I bring my child there for the weekend to teach them a valuable lesson?,No.  The Juvenile Court does not sponsor a “Scared Straight Program.”
Can I call or e-mail the Judge or Magistrate to discuss my case?,"You cannot call or e-mail the Judge or Magistrate to discuss your case.  The only time a person or party, including the Department of Child Services or the Prosecutor, can discuss a case with a Judicial Officer is in Open Court on the Record during a hearing."
I need a continuance.  How do I get one?,"<p>You will need to submit a written request for a continuance.&nbsp; Follow the instructions below.&nbsp; A continuance is discretionary with the Court.&nbsp; Please state the specific reason(s) you are unable to appear.</p>
<p>Follow the instructions for filing a <strong><em>Motion for Continuance</em></strong> at the State&rsquo;s Self-Service Legal Center, <strong><em><a href=""javascript:openExtWindow('http://www.in.gov/judiciary/selfservice/2336.htm')"">www.in.gov/judiciary/selfservice/2336.htm</a>.&nbsp; </em></strong>You will need an original and three copies of your Motion and CCS Entry Form, plus two postage pre-paid envelopes, one self-addressed and one with certified mailing for opposing party or their counsel.<strong> </strong></p>"
An emergency occurred and I am not able to appear for my court hearing.  What do I need to do to get it rescheduled?,"Contact your Probation Officer or Case Manager as soon as possible to advise them.  If circumstances warrant, they may request a continuance on your behalf. "
What is dress code for the Court?,"<p>As members of the community utilizing the Lake County Superior Court, Juvenile Division, it is expected and required that you and your child appear in court in appropriate attire.&nbsp;</p>
<p>As the courtroom is not a casual environment, it is expected that all parents/legal guardians present their children and themselves to the Court in compliance with the following guidelines to insure the professional integrity of the court and judicial process.</p>
<p><span style=""text-decoration: underline;""><strong>UNACCEPTABLE CLOTHING:</strong></span></p>
<p>SHORTS OF ANY KIND (cut-off or other), T-SHIRTS, TANK or HALTER TOPS, sweat shirts, torn clothing (this includes clothing purchased with tears already in them), mini-skirts, untied shoe laces, bathing or body suits.</p>
<p>It is the parent/guardian&rsquo;s responsibility to insure the clothing worn by their children and themselves reflects the proper level of respect due the Lake County Superior Court.</p>
<p>Failure to comply with the expected dress code could result in the continuance of your case and in some instances may result in the child&rsquo;s detention during the continuance period.</p>"
"I'm traveling to your facility for court from Chicago, Indianapolis, etc., how do I get there?","<p>The Lake County Juvenile Justice Complex is conveniently located 1 &frac12; miles South of the intersection of US 30 and Taft, on 93rd Avenue, just North of the Lake County Government Complex.</p>
<p>Both <a href=""javascript:openExtWindow('https://www.google.com/maps/place/3000+W+93rd+Ave/@41.450756,-87.373024,17z/data=!3m1!4b1!4m2!3m1!1s0x8811ef828fff4301:0x26019d14fa2c744d?hl=en-US')"">Google maps</a> and MapQuest (accessible via internet) are good resources which take road conditions into consideration.</p>"
I forgot I had Court and missed my court date.  What do I do now?,A bench warrant may have been issued for your failure to appear.  Call the court for information on what to do.
When is volunteer training offered?,"The Lake County CASA program usually offers s training 2 times a year (Spring and Fall). The training consists of 5-6 weeks of evening sessions, Tuesday and Thursday evenings from 6:15 p.m. to 8:30 p.m. for a total of 30 hours."
Who can become a CASA volunteer?,"<ul>
<li>CASA volunteer applicants must be at least 21 years old.</li>
<li>Applicants must have a High School Diploma or a GED certificate.</li>
<li>Applicants must pass a criminal background check.</li>
</ul>"
What does a CASA volunteer really do?,"CASA volunteers conduct home visits in order to collect information regarding children involved in CHINS proceedings. CASA volunteers attend court hearings and make recommendations to the court regarding placements of the represented children, permanency plans, medical and educational needs. CASA volunteers maintain contact with school officials, therapists, and anyone who is involved in the lives of abused and neglected children"
How do I become a CASA volunteer?,"Lake County residents interested in volunteering will need to complete two (2) applications (preliminary and final), undergo a background check, participate in an interview with a CASA staff member and complete 30 hours of training before being assigned a case."
How many cases on the average does a CASA volunteer carry at one time?,An average case load is 2-3 cases.
What browsers are supported?,"<p>Online exemption filing has been tested with the following browsers:</p>
<ul>
<li>Internet Explorer 8 and 9</li>
<li>Google Chrome</li>
<li>Apple Safari</li>
<li>Mozilla Firefox</li>
</ul>
<p>If you experience problems with any of the above browsers, please make sure to upgrade to the latest version.</p>"
What if I can’t attend the scheduled hearing? What is the timeframe to file a continuance?,"<p>Effective July 1, 2012, the county PTABOA must give at least <strong>thirty (30) days</strong> notice, by mail, of the date, time, and place of the hearing to the taxpayer and the county or township official with whom the taxpayer filed the notice for review. In some situations, a taxpayer may need to request an extension of time (i.e., a continuance) because of individual circumstances (for example, the taxpayer may be waiting for some information such as an appraisal [although an appraisal is not required in the appeal process] or there may be some urgent family or work issues that must be attended to on the date scheduled for the appeal hearing). A taxpayer may request a continuance of the hearing (that is, a postponement to a later date) by filing, at least <strong>twenty (20) days</strong> before the hearing date, a request for continuance with the PTABOA and the county or township official with evidence supporting just cause why the PTABOA should postpone the hearing. The PTABOA must, no later than <strong>ten (10) days</strong> after the date the request for continuance is filed, determine whether the taxpayer has demonstrated just cause for a continuance, at which point the PTABOA either must grant or deny the taxpayer&rsquo;s request for continuance.</p>"
"I filed a property tax appeal, but now I decided I do not want to pursue it. What do I need to do?","<p>A taxpayer may withdraw a petition by filing a notice of withdrawal with the PTABOA and the county or township official at least eight (8) days before the hearing date. As a reminder, if it is after the <strong>eight (8) days</strong>, a penalty of fifty dollars ($50) will be assessed against the taxpayer.</p>"
How do I know if my new assessed value is correct?,"The assessed value should reflect the amount a willing buyer would pay for the property at the time of the assessment. When a property owner receives the notice of new assessment, the best way to determine if it is accurate is to ask if the property could have sold for approximately that amount during the valuation time period. For 2012-pay- 2013 property taxes, the assessment and valuation date was March 1, 2013. Sales from 2012 and the first two months of 2013 were used to determine this assessed value. A correct assessed value should reflect the amount a willing buyer would pay for the property during 2012 and the first two months of 2013."
What if I do not attend my appeal hearing? Is there a penalty?,"<p>If the taxpayer or representative fails to appear at the PTABOA hearing, and the taxpayer&rsquo;s request for a continuance was denied, <strong>a penalty of fifty dollars ($50)</strong> will be assessed against the taxpayer. The penalty will also be assessed if the taxpayer&rsquo;s request for a continuance, request for the PTABOA to take action without the taxpayer being present, or withdrawal is not timely filed. A taxpayer may appeal the assessment of the penalty to the IBTR or directly to the Tax Court.</p>"
What is the IBTR?,The IBTR is the state administrative tax appeals board. A taxpayer who disagrees with the PTABOA’s determination may petition the IBTR for further review.
Do I have to show up for the appeal hearing or can they review the information I submitted?,<p>A taxpayer may request that the PTABOA take action without the taxpayer being present and make a decision based on the evidence already submitted to the PTABOA. The taxpayer may make the request by filing it with the PTABOA and county or township official at least <strong>eight (8) days</strong> before the hearing date.</p>
"I think my assessment is incorrect and I am filing an appeal. Do I have to pay the full amount of my tax bill, or can I wait for the results of my appeal?
","If you have filed an appeal, you may pay an amount based on the immediately preceding year's assessment of real property if an assessment, or increase in assessment, of real property is involved. The taxes resulting from the assessment or increase in assessment are not due until After the petition for review, or the proceeding for judicial review, is finally adjudicated and the assessment or increase in assessment is finally determined."
"If I am successful in my appeal, do I get a refund, and is there interest?","Effective July 1, 2012, if a taxpayer is entitled to a property tax refund or credit because an assessment is decreased, the taxpayer shall also be paid, or credited with, interest on the excess taxes that the taxpayer paid at the rate of four percent (4%) per year."
To whom do I speak about an appeal if my township no longer has an assessor?,The county assessor is responsible for all assessment duties if you do not have a township assessor. 
So how does the appeal process work?,"Once a taxpayer has filed a written notice of appeal, the local assessing official is statutorily required to forward that written notice to the county PTABOA and attempt to hold a preliminary meeting with the taxpayer to resolve as many issues as possible. The assessing official will forward a copy of the results of the preliminary meeting to the PTABOA. The PTABOA will review the agreement (if one is reached) and may change the assessment. If an agreement was not reached or if an informal meeting was not held, the PTABOA must hold a hearing within 180 days of the filing of the appeal. The PTABOA must give the taxpayer at least 30 days notice of the hearing date. After the hearing and a decision is rendered, the PTABOA will issue a written determination. If the taxpayer disagrees with the final determination, or the PTABOA does not hold a timely hearing or give notice of the decision within 120 days after the hearing, the taxpayer may appeal to the Indiana Board of Tax Review (IBTR)."
"How do I add a name to or delete a name from the deed of my property?



","Consult an attorney to make certain you are executing a deed or instrument which transfers the property rights and interests you wish to transfer.
<br><br>
In order to record a properly prepared deed or instrument, it must first have been submitted to the Lake County Assessor?s Office and Auditor?s Office.  The Assessor and Auditor may require a sales disclosure form be filed which may be acquired at the Auditor?s Office or online through the Auditor?s website.

"
What is the Property Tax Assessment Board of Appeals (PTABOA)?,The PTABOA is either a three (3) or five (5) member board comprised of individuals “knowledgeable in the valuation of property.” The County Commissioners determine whether to have a 3 or 5 member PTABOA. The County Assessor is a non-voting member of the PTABOA regardless of the number of members. The members are appointed by the County Commissioners and the County Council.
"If I wish to file a tort claim against city or county government, do I bring it to the Recorder?s Office?


",This is a legal question.  You should consult an attorney regarding the necessary steps regarding a notice of tort claim.  An attorney can advise you where and when a notice of tort claim must be filed
"Does the Recorder?s Office have information regarding neighborhood association bylaws and restrictive covenants?




","Restrictive covenants are filed with the Recorder?s Office.  Covenants can exist either as separate documents or as part of the original plat of the subdivision.  On rare occasions, neighborhood associations also record their bylaws. 
<br><br>
Covenants and restrictions will be available for review online in the near future.
"
"How will my military discharge be protected and who can get a copy?

","Discharge records are confidential and not a public record. Only those listed under IC 10-17-2-4 can get a copy.  Due to confidentiality and the requirement of showing a photo ID, it is necessary to come to the Recorder?s Office in person. These requirements protect the integrity of the discharge records."
"What is the role of the Recorder?s Office in starting a business?
","You are required under IC 23-15-1-1 to file a fictitious business name statement 
for a variety of different reasons.  This document, known as a Certificate of Assumed Business Name, should be filed in the Recorder?s Office in the county in which you are doing business.  The form is available online by visiting the downloads page."
"Should I record my personal survey?


","Yes, for future additions to property and for review.
"
"What types of payment does the Lake County Recorder?s Office accept?



","The Recorder?s Office currently accepts payments for recording and copies by 
cash or check.  Corporate ACH accounts for recording and copying are available.
"
"How do I know if I must include the Social Security affirmation statement on my document?

","In accordance with Indiana Code (IC) 36-2-11-15, most documents submitted to the Recorder?s Office must contain the affirmation statement.  Exceptions include an instrument executed before July 1, 1959, or recorded before July 26, 1967, a judgment, order, or writ of court; a will or death certificate, an instrument executed or acknowledged outside of Indiana; or federal liens on real property or a federal tax lien on personal property as described in IC 36-2-11-25."
"If I have a question about whether or not I have prepared a document correctly, will you evaluate it for me before I submit it for recording?


","The Recorder?s Office staff is happy to review documents in advance to check for missing recording requirements.  However, we cannot answer legal questions or review aspects of the document beyond its compliance with recording requirements.
"
"I wish to dissolve an assumed business name I previously filed with the Recorder?s Office.  How do I go about doing that?
","You may dissolve an assumed business name by filing another Certificate of 
Assumed Business Name and inserting ?Dissolution of? at the top of the page.  The cost is $12.00."
"I need a copy of my marriage license and birth certificate.  Are either available in the Lake County Recorder?s Office?



","Copies of marriage licenses are available in the Clerk?s Office (755-3440). Birth Certificates for persons born in East Chicago or Gary are available in their respective City Health Departments.  For all others born in Lake County, the birth certificates are available through the Vital Records Division of the Lake County Health Department.  They can be reached by telephone at 219-755-3655 and also at www.lakecountyin.org."
"Do you have an online searchable database for recorded deeds and other information?


","No, not at this time.  However, we plan to have it available soon.
"
"Why won?t the Recorder?s Office perform lien searches?


","The Recorder?s Office is committed to providing excellent customer service.  
However, we are also concerned about making sure customers have a complete picture when looking for liens or other claims against property.  All records, which have been recorded in Lake County, are open and available for review by you in the Recorder?s Office.  Please be aware that court judgments, state tax liens, and bankruptcies are among the claims against property that are NOT necessarily filed with the Recorder?s Office.
"
"I need to file a document with the Recorder?s Office.  Do you provide templates or blank forms that I can fill out to prepare a lien, release, deed or other document?


","The Lake County Recorder?s Office provides blank copies of the Certificate of Assumed Business Name form in hard copy and for download that you may fill out and return.  Because of the legal specificity other instruments require, no other forms or templates are provided"
"Where is the Lake County Recorder?s Office located?

","The Lake County Recorder?s Office is located on the second floor of the Admin-
istrative Building of the Lake County Government Center, in Room A-206.  The Recorder?s Office is open 8:30 a.m. to 4:25 p.m. Monday thru Friday."
"My credit report shows an Indiana Department of Revenue tax lien on my record.  It says this report is on file in the Recorder?s Office.  How can I get a copy?
",Federal tax liens are often filed here. But credit Bureaus frequently and incorrectly report that state tax liens are filed in the Lake County Recorder?s Office.  This office does not hold those records.  The best source of information regarding your state tax liens is the Department of Revenue at 317-232-2240.  The Department of Revenue can also be contacted online at www.in.gov/dor.  State tax liens are usually filed with the Clerk?s Office (755-3463).
"I received a solicitation by mail offering to sell me a copy of the deed to my home.  Is this the only way I can obtain this record?
","The deed to your home or property is a public record available in the Recorder?s Office.  In many cases, it costs $2 or less to obtain a copy of your deed from the Recorder?s Office.  To obtain your deed, you will need to provide the owner?s name, the property?s legal description and approximate date of purchase.  Deeds can sometimes be located by address.  Beware of any solicitations that want you to pay more than $2.00 for a copy."
"How are the fees charged by the Recorder?s Office determined and set?  How are recording requirements determined?


","The Recorder?s Office is a state constitutional office and as such, fees charged by 
the Recorder?s Office (such as the $1 per page cost of copies) are established under Indiana Code 36-2-11.

Recording requirements are set by Indiana Code 36-2-11."
Is it necessary to complete another juror qualification questionnaire before each service as a juror?,Yes. The Jury Administrator needs the most current information available to determine qualifications of each potential juror.
Who else will be in the courtroom?,"<p><span class=""Apple-style-span"" style=""widows: 2; text-transform: none; text-indent: 0px; border-collapse: separate; font: medium 'Times New Roman'; white-space: normal; orphans: 2; letter-spacing: normal; color: #000000; word-spacing: 0px;""><span class=""Apple-style-span"" style=""font-size: 16px;""><span>A number of people will be in the courtroom in addition to the judge and jury. The list below explains who they are and what they may be doing.<br /><br /><strong>Plaintiff</strong><span class=""Apple-converted-space"">&nbsp;</span>- In a civil case, the plaintiff is the party who initiates the lawsuit by bringing the case to court.<br /><br /><strong>Defendant</strong><span class=""Apple-converted-space"">&nbsp;</span>- In a civil matter, the defendant is the party who is being sued. In a criminal case, the defendant is a person who has been charged with a crime.<br /><br /><strong>Attorneys or Counsel</strong><span class=""Apple-converted-space"">&nbsp;</span>- In certain cases, including criminal cases, attorneys representing the plaintiff, the defendant or the government are referred to as counsel. An attorney representing the government in a criminal case is called the prosecuting attorney.<br /><br /><strong>Court Reporter</strong><span class=""Apple-converted-space"">&nbsp;</span>- The court reporter records the official record of the trial by recording every word which is spoken. This record will be converted into an official transcript of the trial.<span class=""Apple-converted-space"">&nbsp;</span><br /><br /><strong>Court Security Officer</strong><span class=""Apple-converted-space"">&nbsp;</span>- The court security officer keeps order, maintains the security of the court, and assists the judge and the jury as needed.<br /><br /><strong>Witnesses</strong><span class=""Apple-converted-space"">&nbsp;</span>- Witnesses provide testimony, under oath, as to what they have seen, heard or otherwise observed regarding the case.<br /><br /><strong>Interpreter</strong><span class=""Apple-converted-space"">&nbsp;</span>- Interpreters, under oath, provide language interpretation for the court on behalf of a non-English speaking or hearing impaired party or witness.<br /><br /><strong>Spectators</strong><span class=""Apple-converted-space"">&nbsp;</span>- Spectators are members of the public who are generally permitted to observe court proceedings. Often spectators include representatives of the media</span><span><span style=""font-family: Verdana; font-size: 10pt;"">.</span></span></span></span></p>"
What can jurors do to make their service more enjoyable?,"Jurors very often have to wait while important pretrial activities take place before they are assigned to a particular jury panel. Reporting jurors are encouraged to bring along books or newspapers to read during breaks. Cell phones are not permitted in the Courts Building in Crown Point or East Chicago. However, once the jury selection or trial begins, reading materials and the like are not permitted unless authorized by the trial judge."
How are jurors with disabilities accommodated?,"If you have a disability and need a reasonable accommodation to allow you to serve, the court will try to provide the services or auxiliary aids that you need. The kinds of auxiliary aids that are generally available include assistive listening devices, and sign language interpreters.
<br><br>
Any access questions or requests for assistance can be conveyed to the Jury Administrator, Bailiff or Judge in the courtroom where you are assigned."
Are the same people summoned every few years?,No. The same jurors are not automatically summoned every few years. The random selection process assures a fair and impartial juror selection process. 
Is it true that sometimes jurors are not allowed to go home until after the trial is over? Is this common?,"As a general rule, jurors go home at the end of the day and return the next morning. There are occasions on which the court will be required to ""sequester"" a jury on a criminal case during deliberations. In extremely rare instances, a jury may be sequestered during the trial itself. ""Sequestered"" means that jurors do not go home at the end of the day, but stay in a hotel, where their access to other people and to radio and television news or newspapers is limited. The judge or bailiff will inform you in advance if there is a possibility that the jury may be sequestered.
<br><br>
The expense of all meals and lodging for sequestered jurors is the responsibility of the Lake Superior Court."
What about the juror's job?,"Indiana State law prohibits an employer from subjecting an employee to penalties or termination of employment due to jury service- so long as the employee notifies the employer upon receipt of the jury summons. The question of salary and wages is a matter to be addressed between the juror and the employer.
<br><br>
In order to verify to an employer that jury service was performed, jurors may request that court staff provide them with an attendance/work slip.
<br><br>
Jurors who believe that they have been penalized by their employer due to jury service should contact the Office of the Indiana Attorney General."
What happens to jurors who fail to report?,"Any Juror who fails to report may be called in on an Order to Show Cause to explain their absence.  Any failure to report may find you in contempt of court, which is punishable by up to 3 days in jail or $100."
How do I receive a postponement of my service?,"<p><span style=""widows: 2; text-transform: none; text-indent: 0px; border-collapse: separate; font: medium 'Times New Roman'; white-space: normal; orphans: 2; letter-spacing: normal; color: #000000; word-spacing: 0px;""><span> </span></span></p>
<p>The jury rules do allow for a deferment of your service. The request must be made&nbsp;<strong>in writing&nbsp;</strong>through our online deferment/excuse forms available at&nbsp;<a href=""http://ijuror.lakecountyin.org/"" target=""_blank"">http://ijuror.lakecountyin.org</a>&nbsp;or &nbsp;faxed or emailed or via your appearance in person. The fax number is&nbsp;<a href=""tel:%28219%29%20755-3004"" target=""_blank"">(219) 755-3004</a>.&nbsp;The email address is&nbsp;<a href=""https://mail.google.com/a/ngsltd.com/mail/?view=cm&amp;fs=1&amp;tf=1&amp;to=JURYDUTY@LAKECOUNTYIN%3EO"" target=""_blank"">JURYDUTY@LAKECOUNTYIN.ORG</a>&nbsp; Only one postponement will be granted, normally for a period of&nbsp;<span style=""text-decoration: underline;"">2 weeks to</span>&nbsp;6 months.&nbsp;</p>
<ul>
<li><strong>Matters of Conscience/Religious Convictions:</strong>&nbsp;Any request to be excused based on matters of conscience will be handled during jury selection and determined by the judge and attorneys.</li>
<li><strong>Request from Employer:</strong>&nbsp;The Office of the Court Administrator may not accept any request for deferral from an employer.</li>
<li><strong>Work Related Excuse:</strong>&nbsp;A work related excuse is not a valid reason for postponement.</li>
<li><strong>Full Time Student:</strong>&nbsp;As there are no exemptions, students must select an alternate date to serve during school recess.</li>
<li><strong><span style=""text-decoration: underline;"">Transportation and Childcare issues are not acceptable reasons for deferral</span></strong><span style=""text-decoration: underline;"">.</span></li>
</ul>
<p class=""MsoNormal"" style=""margin: 0in 0in 0pt; font-family: 'Times New Roman'; font-size: 12pt;"">&nbsp;</p>
<ul style=""margin-top: 0in; margin-bottom: 0in;"" type=""disc"">
</ul>"
How long does a juror serve?,"The Indiana Supreme Court recently implemented a policy to reduce the length of service to the shortest possible term.
<br><br>
A person who appears for service as a petit juror services until the conclusion of the first trial in which the juror is sworn, regardless of the length of the trial or the manner in which the trial is disposed.  A person who appears for service but is not selected and sworn as a juror completes their service when jury selection is completed and they are released by the court.
<br><br> 
Some trials may last longer than three days. The judge or attorneys will inform the prospective jurors of the expected length of the trial."
Is it possible to report for jury service but not sit on a jury?,"Yes. In many cases, parties seek to settle their differences to avoid the expense and time demanded by a trial. Thus, while several trials may be scheduled for one particular day, the court cannot be certain until that morning, and sometimes afternoon, which cases will actually require a trial and a jury.
<br><br>
Even if not selected to serve on a jury, the juror's role is vital. Many times, it is the very presence of a jury-which signifies the trial process and an uncertain outcome-that encourages parties to resolve issues, reach a settlement, or enter a plea."
Are jurors compensated?,"Pursuant to Lake County policy and Indiana State Law, the county will pay jurors a fee of $20 for appearing for selection and $40 for each day of physical attendance on a trial."
What is the possibility that a juror will be called again for service in the near future?,"Prior to 2005, jurors had the right to defer their service if they had served in the previous year.  As of January 1, 2005, jurors can request a deferral if they have served (received payment for) jury service with in the past two years."
What about transportation costs?,<p><span>Lake County provides .40 cents per mile for each round trip made to the juror&rsquo;s court location as reimbursement for transportation costs. There is no need to keep track of your mileage.</span></p>
How are taxes billed?,"<P>Based on the March 1st ownership year, taxes are due and payable the following year in two installments.  Tax bills are mailed once a year; both the 1st and 2nd installment tax bill payment stubs are included.  Due dates are on each installment statement. Taxes not paid on or before the due date receive a 10% penalty.  Propety with a total tax bill of $25.00 or less will be billed the total due on the 1st installment.</P>"
How do I pay my tax bill in person?,"<P>Bring the entire bill and your payment to the Treasurer's Office.</P>
<P><STRONG>Payment Locations:</STRONG></P>
<P>
<TABLE class="""" style=""WIDTH: 597px; HEIGHT: 143px"" cellSpacing=1 cellPadding=1 width=597 border=1>
<TBODY>
<TR>
<TD width=""33%"">
<P style=""MARGIN-TOP: 0px; MARGIN-BOTTOM: 0px"">Lake County Treasurer</P>
<P style=""MARGIN-TOP: 0px; MARGIN-BOTTOM: 0px"">2293 North Main Street</P>
<P style=""MARGIN-TOP: 0px; MARGIN-BOTTOM: 0px"">Crown Point, IN 46307</P>
<P style=""MARGIN-TOP: 0px; MARGIN-BOTTOM: 0px"">(219) 755-3760</P></TD>
<TD width=""33%"">
<P style=""MARGIN-TOP: 0px; MARGIN-BOTTOM: 0px"">Lake County Treasurer</P>
<P style=""MARGIN-TOP: 0px; MARGIN-BOTTOM: 0px"">11 East 4th Street</P>
<P style=""MARGIN-TOP: 0px; MARGIN-BOTTOM: 0px"">Gary, IN 46402</P>
<P style=""MARGIN-TOP: 0px; MARGIN-BOTTOM: 0px"">(219) 881-6300</P></TD>
<TD width=""34%"">
<P style=""MARGIN-TOP: 0px; MARGIN-BOTTOM: 0px"">Lake County Treasurer</P>
<P style=""MARGIN-TOP: 0px; MARGIN-BOTTOM: 0px"">232 Russell Street</P>
<P style=""MARGIN-TOP: 0px; MARGIN-BOTTOM: 0px"">Hammond, IN 46320</P>
<P style=""MARGIN-TOP: 0px; MARGIN-BOTTOM: 0px"">(219) 933-2900</P></TD></TR></TBODY></TABLE>
<P> </P>
<P> </P>
<P> </P>
<P> </P>
<P> </P>"
How do I get a receipt for my tax payment?,"If requesting a validated receipt, a <U>self-addressed stamped envelope</U> must be enclosed with the payment.  Return <U>both </U>copies of the installment with your payment.  Receipt not valid unless stamped paid and actual transfer of funds has been completed. Or use your returned check as your receipt. "
How do I pay my tax bill by mail?,"Make check payable to ""Lake County Treasurer"".  Please write your property number on your check.  Enclose your installment copy with payment.  Payment by mail is only considered on time only if postmarked by the US Postal Service on or before the due date and properly addressed to the ""Lake County Treasurer"". "
How are people chosen to be called for jury service?,"<p>Prospective jurors are randomly selected from a combined list including Department of Revenue and Bureau of Motor Vehicles information. Throughout the year, prospective jurors are selected randomly and sent a juror qualification questionnaire. This questionnaire must be completed by the prospective juror. Those individuals who ""qualify"" for service - a US citizen and county resident; at least 18 years of age; who are able to understand and communicate in English; are not suffering from a physical or mental disability or under a guardianship because of mental incapacity; have not had their rights revoked due a felony conviction and are not a law enforcement officer (criminal trials only) must report for service as summoned.</p>
<p>On July 1, 2006, juror exemptions were eliminated statewide. This means that no automatic exemptions are available by statute. All jurors must respond to the court as to why they cannot serve and the determination as to defer a juror's service now falls completely on the Court.</p>"
Why must I serve on Jury Duty?,"The Constitution of the United States and the State of Indiana guarantee defendants in criminal cases and litigants in civil cases the right to a trial by jury. Indiana law states that all litigants have the right to juries selected from a fair cross section of the community and that all eligible citizens shall have both the opportunity and obligation to serve.	
"
